name,category,availability,status,primary_url,description
FastChat,LLM Evaluation Frameworks,open-source,active,https://github.com/lm-sys/FastChat,"FastChat is LMSYS's platform for serving and evaluating chat models, and the original home of MT-Bench and the Chatbot Arena codebase; development has slowed and it is now mostly of historical reference value."
Microsoft Foundry Evaluations,Cloud Provider Evaluation Services,commercial,active,https://learn.microsoft.com/en-us/azure/ai-foundry/concepts/observability,"Microsoft Foundry (formerly Azure AI Foundry) includes built-in evaluators for generative and agentic applications, covering intent resolution, tool-call accuracy, task adherence, groundedness, and safety."
Vertex AI Gen AI Evaluation,Cloud Provider Evaluation Services,commercial,active,https://cloud.google.com/vertex-ai/generative-ai/docs/models/evaluation-overview,"Google Cloud's Gen AI Evaluation Service provides model-based and computation-based metrics, including agent trajectory evaluation, integrated with Vertex AI."
Amazon Bedrock Evaluations,Cloud Provider Evaluation Services,commercial,active,https://docs.aws.amazon.com/bedrock/latest/userguide/evaluation.html,"Amazon Bedrock Evaluations runs managed model and RAG evaluation jobs using automatic metrics, LLM-as-a-judge, and human evaluation workflows."
Mosaic AI Agent Evaluation,Cloud Provider Evaluation Services,commercial,active,https://docs.databricks.com/en/generative-ai/agent-evaluation/index.html,"Databricks' Mosaic AI Agent Evaluation provides managed judges, a human review app, and MLflow integration for evaluating GenAI apps on Databricks."
OpenAI Evals (hosted),Cloud Provider Evaluation Services,commercial,active,https://platform.openai.com/docs/guides/evals,OpenAI's platform-integrated evaluation product for testing prompts and models in the OpenAI dashboard; OpenAI has announced a shutdown of the hosted Evals product scheduled for late 2026.
Anthropic Console Evaluations,Cloud Provider Evaluation Services,commercial,active,https://docs.anthropic.com/en/docs/test-and-evaluate/eval-tool,The Anthropic Console includes an evaluation tool for generating test cases and comparing prompt outputs for Claude models.
Langfuse,LLM Observability and Tracing,open-source,active,https://github.com/langfuse/langfuse,"Langfuse is a widely adopted open-source LLM observability platform with traces, sessions, cost tracking, evaluations, and prompt management; it is self-hostable."
Arize Phoenix,LLM Observability and Tracing,open-source,active,https://github.com/Arize-ai/phoenix,"Phoenix is an OpenTelemetry-native tracing and evaluation library for LLM apps and agents that runs locally, in notebooks, or self-hosted; it underpins the commercial Arize AX platform."
Helicone,LLM Observability and Tracing,open-source,active,https://github.com/Helicone/helicone,"Helicone is an LLM observability proxy/gateway added with one line of code, providing logging, caching, scoring, and experiments."
Opik,LLM Observability and Tracing,open-source,active,https://github.com/comet-ml/opik,Opik is Comet's open-source tracing and evaluation platform for LLM and agentic applications.
OpenLLMetry,LLM Observability and Tracing,open-source,active,https://github.com/traceloop/openllmetry,"OpenLLMetry, from Traceloop, provides OpenTelemetry-based instrumentation for LLM apps, exporting traces to any OTel-compatible backend."
OpenInference,LLM Observability and Tracing,open-source,active,https://github.com/Arize-ai/openinference,"OpenInference is an open specification and set of instrumentation libraries for capturing LLM application traces, used by Phoenix and other OTel backends."
OpenLIT,LLM Observability and Tracing,open-source,active,https://github.com/openlit/openlit,"OpenLIT is an OpenTelemetry-native AI engineering platform with observability, evaluations, guardrails, and a prompt hub."
AgentOps,LLM Observability and Tracing,open-source,active,https://github.com/AgentOps-AI/agentops,"AgentOps provides session replays, metrics, and monitoring purpose-built for AI agents across popular agent frameworks."
Laminar,LLM Observability and Tracing,open-source,active,https://github.com/lmnr-ai/lmnr,"Laminar is an open-source, OTel-based platform for tracing and evaluating AI applications."
Pydantic Logfire,LLM Observability and Tracing,open-core,active,https://github.com/pydantic/logfire,"Logfire, from the Pydantic team, is an observability platform with first-class LLM and agent tracing built on OpenTelemetry."
Lunary,LLM Observability and Tracing,open-source,active,https://github.com/lunary-ai/lunary,"Lunary is a production toolkit for LLM apps covering observability, prompt management, and analytics."
Langtrace,LLM Observability and Tracing,open-source,active,https://github.com/Scale3-Labs/langtrace,"Langtrace is an open-source, OTel-based observability tool with evaluations for LLM applications."
Portkey,LLM Observability and Tracing,open-core,active,https://github.com/Portkey-AI/gateway,"Portkey combines an open-source AI gateway with a commercial observability and governance suite: routing, guardrails, logs, and feedback."
Datadog LLM Observability,LLM Observability and Tracing,commercial,active,https://www.datadoghq.com/product/llm-observability/,"Datadog LLM Observability adds LLM tracing, quality and security scanning, and evaluation to the Datadog platform."
New Relic AI Monitoring,LLM Observability and Tracing,commercial,active,https://newrelic.com/platform/ai-monitoring,"New Relic AI Monitoring provides APM-style monitoring for LLM-powered applications, covering traces, cost, and response quality signals."
LangSmith,LLM Observability and Tracing,commercial,active,https://smith.langchain.com,LangSmith provides tracing and monitoring with online evaluators and alerts (see the [full-stack platforms](#full-stack-llm-evaluation-platforms) section).
Arthur,LLM Observability and Tracing,open-core,active,https://www.arthur.ai,Arthur is an AI performance monitoring platform; its open-source Arthur Bench LLM evaluation tool is no longer actively developed.
LangKit,LLM Observability and Tracing,open-source,active,https://github.com/whylabs/langkit,"LangKit is an open-source library of text-quality and safety telemetry metrics for LLMs, built on whylogs. The hosted WhyLabs platform it fed into has been discontinued (see [Discontinued](#discontinued-and-historical-tools))."
Ragas,RAG Evaluation,open-source,active,https://github.com/vibrantlabsai/ragas,"Ragas is a popular toolkit for RAG metrics: faithfulness, answer relevancy, context precision, and context recall."
DeepEval RAG metrics,RAG Evaluation,open-source,active,https://deepeval.com/docs/metrics-introduction,"DeepEval's RAG metrics cover answer relevancy, faithfulness, and contextual precision/recall/relevancy, with explainable per-test-case reasons."
TruLens,RAG Evaluation,open-source,active,https://github.com/truera/trulens,"TruLens implements RAG triad evaluation (context relevance, groundedness, answer relevance) with application instrumentation."
ARES,RAG Evaluation,open-source,active,https://github.com/stanford-futuredata/ARES,"ARES, from Stanford, automates RAG evaluation using synthetic data and fine-tuned judge models with statistical guarantees. Paper"
AutoRAG,RAG Evaluation,open-source,active,https://github.com/Marker-Inc-Korea/AutoRAG,AutoRAG is an AutoML-style tool that evaluates RAG pipeline configurations on your own data to find the best-performing setup.
RAGChecker,RAG Evaluation,open-source,active,https://github.com/amazon-science/RAGChecker,"RAGChecker, from Amazon Science, is a fine-grained diagnostic framework for RAG using claim-level entailment checks on both retriever and generator."
BEIR,RAG Evaluation,open-source,active,https://github.com/beir-cellar/beir,BEIR is a heterogeneous zero-shot benchmark for information retrieval spanning 18 datasets across 9 task types.
MTEB,RAG Evaluation,open-source,active,https://github.com/embeddings-benchmark/mteb,"MTEB (Massive Text Embedding Benchmark) is the benchmark suite for evaluating embedding models, with a public leaderboard."
CRAG,RAG Evaluation,open-source,active,https://github.com/facebookresearch/CRAG,"CRAG (Comprehensive RAG Benchmark), from Meta, provides 4,400+ QA pairs and mock APIs simulating web and knowledge-graph search, used in the KDD Cup 2024."
RAGBench,RAG Evaluation,open-source,active,https://huggingface.co/datasets/rungalileo/ragbench,"RAGBench is a 100k-example, explainable RAG benchmark across five industry domains, with the TRACe evaluation framework."
BRIGHT,RAG Evaluation,open-source,active,https://github.com/xlang-ai/BRIGHT,BRIGHT is a benchmark for reasoning-intensive retrieval where queries require deep reasoning rather than keyword matching.
MTRAG,RAG Evaluation,open-source,active,https://github.com/IBM/mt-rag-benchmark,"MTRAG, from IBM, is a human-generated benchmark for multi-turn RAG conversations across four domains."
Tonic Validate,RAG Evaluation,open-source,active,https://github.com/TonicAI/tonic_validate,Tonic Validate is a RAG benchmarking and evaluation framework with a free visualization UI.
continuous-eval,RAG Evaluation,open-source,active,https://github.com/relari-ai/continuous-eval,"continuous-eval offers modular, granular evaluation of each RAG pipeline stage: retrieval, reranking, and generation."
FlashRAG,RAG Evaluation,open-source,active,https://github.com/RUC-NLPIR/FlashRAG,"FlashRAG is a Python toolkit for reproducing and evaluating RAG research, with 20+ algorithms and 16+ datasets."
RAGTruth,RAG Evaluation,open-source,active,https://github.com/ParticleMedia/RAGTruth,"RAGTruth is a word-level, hallucination-annotated corpus for training and evaluating trustworthy RAG systems."
RGB,RAG Evaluation,open-source,active,https://github.com/chen700564/RGB,"RGB benchmarks RAG robustness across noise, negative rejection, information integration, and counterfactuals."
DeepEval agentic evals,AI Agent Evaluation,open-source,active,https://deepeval.com/docs/metrics-task-completion,"DeepEval's agentic metrics cover task completion, tool correctness, and argument correctness, supporting end-to-end and component-level agent testing over traces."
LangWatch Scenario,AI Agent Evaluation,open-source,active,https://github.com/langwatch/scenario,"Scenario, from LangWatch, is an agent simulation testing framework that simulates users over multi-turn scenarios and asserts on outcomes."
AgentEvals,AI Agent Evaluation,open-source,active,https://github.com/langchain-ai/agentevals,"AgentEvals is LangChain's set of ready-made evaluators for agent trajectories, including trajectory match and LLM-judge over trajectories."
Inspect AI,AI Agent Evaluation,open-source,active,https://github.com/UKGovernmentBEIS/inspect_ai,"Inspect AI has first-class agent evaluation support: sandboxed tool execution, multi-step solvers, and agent bridges."
Rogue,AI Agent Evaluation,open-source,active,https://github.com/qualifire-dev/rogue,"Rogue, from Qualifire, evaluates and red-teams agents by probing them through realistic adversarial conversations."
any-agent,AI Agent Evaluation,open-source,active,https://github.com/mozilla-ai/any-agent,"any-agent, from Mozilla AI, is a single interface for building and evaluating agents across different agent frameworks."
Vivaria,AI Agent Evaluation,open-source,active,https://github.com/METR/vivaria,Vivaria is METR's platform for running agent evaluations and conducting elicitation research.
Harbor,AI Agent Evaluation,open-source,active,https://github.com/harbor-framework/harbor,Harbor is a framework for running agent evaluations and creating RL environments at scale.
ToolSandbox,AI Agent Evaluation,open-source,active,https://github.com/apple/ToolSandbox,"ToolSandbox, from Apple, is a stateful, conversational, interactive evaluation benchmark for LLM tool-use capabilities."
Coval,Voice AI and Conversational Evaluation,commercial,active,https://www.coval.dev,"Coval is a simulation and evaluation platform for voice and chat agents, applying scenario-based automated testing practices borrowed from self-driving-car simulation."
Hamming,Voice AI and Conversational Evaluation,commercial,active,https://hamming.ai,"Hamming automates voice-agent testing at scale with thousands of simulated phone calls, prompt experiments, and production call analytics."
Cekura,Voice AI and Conversational Evaluation,commercial,active,https://www.cekura.ai,Cekura (formerly Vocera) provides testing and observability for voice and chat agents via simulated conversations and production monitoring.
DeepEval conversational metrics,Voice AI and Conversational Evaluation,open-source,active,https://deepeval.com/docs/metrics-conversational-geval,"DeepEval's conversational metrics evaluate multi-turn conversations at the turn and conversation level (role adherence, knowledge retention, conversation completeness) and include user simulation."
Bland AI Testing,Voice AI and Conversational Evaluation,commercial,active,https://www.bland.ai,Bland AI includes built-in test suites for phone-call agents on the Bland platform.
MultiChallenge,Voice AI and Conversational Evaluation,open-source,active,https://github.com/ScaleAI/MultiChallenge,"MultiChallenge, from Scale AI, benchmarks realistic multi-turn conversation ability of frontier LLMs."
DeepTeam,LLM Red Teaming and Security Testing,open-source,active,https://github.com/confident-ai/deepteam,"DeepTeam is an open-source LLM red-teaming framework covering 120+ vulnerabilities and 20+ attack methods, with mappings to the OWASP Top 10, NIST AI RMF, and MITRE ATLAS."
garak,LLM Red Teaming and Security Testing,open-source,active,https://github.com/NVIDIA/garak,"garak, from NVIDIA, is an LLM vulnerability scanner (""nmap for LLMs"") probing hallucination, jailbreaks, toxicity, and data leakage. Paper"
PyRIT,LLM Red Teaming and Security Testing,open-source,active,https://github.com/Azure/PyRIT,"PyRIT is Microsoft's Python Risk Identification Toolkit for generative AI, used by Microsoft's AI Red Team for automated adversarial probing."
promptfoo red teaming,LLM Red Teaming and Security Testing,open-source,active,https://www.promptfoo.dev/docs/red-team/,"promptfoo's red-teaming module runs automated scans for injection, jailbreaks, PII leakage, and RBAC issues, with OWASP and NIST mappings."
HarmBench,LLM Red Teaming and Security Testing,open-source,active,https://github.com/centerforaisafety/HarmBench,"HarmBench, from the Center for AI Safety, is a standardized evaluation framework for automated red teaming and robust refusal."
Giskard scan,LLM Red Teaming and Security Testing,open-source,active,https://github.com/Giskard-AI/giskard-oss,"Giskard's scan feature automatically detects vulnerabilities in LLM agents, including injection, harmful content, and sycophancy."
FuzzyAI,LLM Red Teaming and Security Testing,open-source,active,https://github.com/cyberark/FuzzyAI,"FuzzyAI, from CyberArk, is an automated LLM fuzzer for discovering jailbreaks and adversarial weaknesses in model guardrails."
CyberSecEval,LLM Red Teaming and Security Testing,open-source,active,https://github.com/meta-llama/PurpleLlama,"CyberSecEval, part of Meta's Purple Llama project, benchmarks LLM cybersecurity risks including insecure code generation and cyberattack helpfulness."
Lakera Red,LLM Red Teaming and Security Testing,commercial,active,https://www.lakera.ai,Lakera Red is an AI red-teaming service from the team behind the Gandalf prompt-injection game.
Mindgard,LLM Red Teaming and Security Testing,commercial,active,https://www.mindgard.ai,Mindgard is an automated AI red teaming and security testing platform (offensive security for AI systems).
HiddenLayer,LLM Red Teaming and Security Testing,commercial,active,https://hiddenlayer.com,HiddenLayer is an AI security platform covering model scanning and adversarial ML detection and response.
Cisco AI Defense,LLM Red Teaming and Security Testing,commercial,active,https://www.cisco.com/site/us/en/products/security/ai-defense/index.html,"Cisco AI Defense, built on the Robust Intelligence acquisition, provides algorithmic red teaming and runtime guardrails for enterprises."
Haize Labs,LLM Red Teaming and Security Testing,commercial,active,https://www.haizelabs.com,"Haize Labs provides automated stress-testing/jailbreaking (""haizing"") suites and judge infrastructure for frontier AI systems."
AgentDojo,LLM Red Teaming and Security Testing,open-source,active,https://github.com/ethz-spylab/agentdojo,"AgentDojo, from ETH Zurich, is a dynamic environment for evaluating prompt-injection attacks and defenses in tool-using LLM agents."
JailbreakBench,LLM Red Teaming and Security Testing,open-source,active,https://github.com/JailbreakBench/jailbreakbench,"JailbreakBench is an open robustness benchmark for jailbreaking, with a leaderboard and artifact repository."
Moonshot,LLM Red Teaming and Security Testing,open-source,active,https://github.com/aiverify-foundation/moonshot,"Moonshot, from the AI Verify Foundation, is a modular tool for benchmarking and red-teaming LLM applications."
NeMo Guardrails,Guardrails and Runtime Safety,open-source,active,https://github.com/NVIDIA/NeMo-Guardrails,"NeMo Guardrails is NVIDIA's toolkit for programmable guardrails (via Colang) on conversational systems: topic control, jailbreak detection, and fact-checking rails."
Guardrails AI,Guardrails and Runtime Safety,open-source,active,https://github.com/guardrails-ai/guardrails,"Guardrails AI is a Python framework for input/output validation, with a community Guardrails Hub of validators."
LLM Guard,Guardrails and Runtime Safety,open-source,active,https://github.com/protectai/llm-guard,"LLM Guard, from Protect AI, is a security toolkit providing sanitization, PII detection, and prompt-injection and toxicity scanners."
LlamaFirewall,Guardrails and Runtime Safety,open-source,active,https://github.com/meta-llama/PurpleLlama/tree/main/LlamaFirewall,"LlamaFirewall, from Meta, is an open-source guardrail framework for agentic systems, combining PromptGuard, agent-alignment checks, and code-safety scanning."
OpenAI Guardrails,Guardrails and Runtime Safety,open-source,active,https://github.com/openai/openai-guardrails-python,OpenAI Guardrails is a modular safety framework for validating LLM inputs and outputs with configurable pipelines.
Invariant Guardrails,Guardrails and Runtime Safety,open-source,active,https://github.com/invariantlabs-ai/invariant,"Invariant, from Invariant Labs, provides guardrailing rules and analysis for agentic systems, including tool-call policy enforcement."
Lakera Guard,Guardrails and Runtime Safety,commercial,active,https://www.lakera.ai/lakera-guard,"Lakera Guard is a low-latency API for detecting prompt injection, content violations, and PII in production."
Amazon Bedrock Guardrails,Guardrails and Runtime Safety,commercial,active,https://aws.amazon.com/bedrock/guardrails/,"Amazon Bedrock Guardrails applies configurable safety policies — content filters, denied topics, and contextual grounding checks — to Bedrock applications."
Azure AI Content Safety,Guardrails and Runtime Safety,commercial,active,https://azure.microsoft.com/en-us/products/ai-services/ai-content-safety,Azure AI Content Safety provides content moderation plus Prompt Shields (jailbreak and indirect injection detection) and groundedness detection.
Google Model Armor,Guardrails and Runtime Safety,commercial,active,https://cloud.google.com/security-command-center/docs/model-armor-overview,"Model Armor is Google Cloud's service for screening LLM prompts and responses for injection, jailbreaks, sensitive data, and harmful content."
Llama Guard,Guardrails and Runtime Safety,open-weights,active,https://github.com/meta-llama/PurpleLlama,"Llama Guard is Meta's family of downloadable safety classifier models (Llama Guard, Prompt Guard) under the Purple Llama project, released under Meta's community license."
OpenAI Moderation,Guardrails and Runtime Safety,commercial,active,https://platform.openai.com/docs/guides/moderation,The OpenAI Moderation endpoint is a free API for text and image safety classification.
Vectara HHEM,Hallucination Detection and Factuality,open-source,active,https://huggingface.co/vectara/hallucination_evaluation_model,"HHEM is Vectara's widely used open hallucination detection model, which powers the Hughes Hallucination Leaderboard."
Patronus Lynx,Hallucination Detection and Factuality,open-weights,active,https://huggingface.co/PatronusAI/Llama-3-Patronus-Lynx-8B-Instruct,"Lynx, from Patronus AI, is a hallucination detection model reported to outperform GPT-4 on the HaluBench benchmark (July 2024 paper). Paper"
SelfCheckGPT,Hallucination Detection and Factuality,open-source,active,https://github.com/potsawee/selfcheckgpt,"SelfCheckGPT performs zero-resource, black-box hallucination detection via sampling consistency. Paper"
FActScore,Hallucination Detection and Factuality,open-source,active,https://github.com/shmsw25/FActScore,"FActScore provides fine-grained, atomic-fact evaluation of factual precision in long-form generation. Paper"
LongFact & SAFE,Hallucination Detection and Factuality,open-source,active,https://github.com/google-deepmind/long-form-factuality,"LongFact (a long-form factuality benchmark) and SAFE (Search-Augmented Factuality Evaluator), from Google DeepMind, evaluate long-form factuality using search-grounded fact checking."
MiniCheck,Hallucination Detection and Factuality,open-source,active,https://github.com/Liyan06/MiniCheck,"MiniCheck is an efficient fact-checking model for verifying whether LLM output sentences are grounded in provided documents, at a fraction of GPT-4's cost."
AlignScore,Hallucination Detection and Factuality,open-source,active,https://github.com/yuh-zha/AlignScore,AlignScore is a unified metric for factual-consistency evaluation trained on a broad alignment corpus.
